KOD			İNGİLİZCE				TÜRKÇE
1			accountant				muhasebeci
2			afraid				korkmuş
3			age				yaş
4			airplane				uçak
5			alone				yalnız
6			angry				kızgın-sinirli
7			animal				hayvan
8			answer				cevapvermek
9			architect				mimar
10			arrive				varmak
11			aunt				hala-teyze
12			bag				çanta
13			ball				top
14			bath				banyo
15			beautiful				güzel
16			bill				hesap-fatura
17			body				vücut
18			boil				kaynamak
19			bookstore				kitapçı
20			boring				sıkıcı
21			borrow				ödünçalmak
22			boss				patron
23			bottle				şişe
24			box				kutu
25			brave				cesur
26			bread				ekmek
27			break				kırmak
28			bridge				köprü
29			brush				fırça
30			build				inşaetmek
31			butter				tereyağı
32			calculator				hesapmakinası
33			calendar				takvim
34			call				aramak
35			capital				başkent
36			carpenter				marangoz
37			carpet				halı
38			carry				taşımak
39			cartoon				çizgifilm
40			chair				sandalye
41			cheap				ucuz
42			cheese				peynir
43			cherry				kiraz
44			chicken				tavuk
45			church				kilise
46			clean				temizlemek
47			clear				açık,net
48			clever				akıllı
49			clock				saat
50			cloud				bulut
51			coat				kaban
52			cold				soğuk
53			company				şirket
54			continue				devametmek
55			correct				DOĞRU
56			country				ülke
57			cow				inek
58			cry				ağlamak
59			daily				günlük
60			dark				koyu-karanlık
61			dentist				dişhekimi
62			difficult				zor
63			dirty				kirli
64			divorced				boşanmış
65			draw				çizmek
66			early				erken
67			earn				kazanmak
68			elephant				fil
69			emergency				acil
70			empty				boş
71			engaged				nişanlı
72			engineer				mühendis
73			enough				yeterli
74			eraser				silgi
75			error				hata
76			fall				düşmek-sonbahar
77			far				uzak
78			farm				çiftlik
79			fat				şişman
80			finger				parmak
81			fire				ateş-yangın
82			flight				uçuş
83			floor				yer,zemin
84			fork				çatal
85			friendly				arkadaşça
86			fruit				meyve
87			funny				komik
88			garden				bahçe
89			glass				bardak
90			grape				üzüm
91			gun				tabanca
92			habit				alışkanlık
93			half				yarım
94			hand				el
95			handsome				yakışıklı
96			hate				nefretetmek
97			health				sağlık
98			hear				duymak
99			heart				kalp
100			heavy				ağır
101			high				yüksek
102			history				tarih
103			horror				korku
104			hungry				aç
105			ill				hasta
106			interested				ilgili
107			job				meslek
108			journalist				gazeteci
109			kill				öldürmek
110			large				geniş
111			laugh				gülmek
112			lawyer				avukat
113			leave				ayrılmak
114			left				sol
115			lend				ödünçvermek
116			letter				mektup
117			library				kütüphane
118			light				hafif/ışık
119			lunch				öğleyemeği
120			main				ana-temel
121			manager				yönetici,müdür
122			map				harita
123			married				evli
124			meal				yemek
125			meet				buluşmak
126			meeting				toplantı
127			melon				kavun
128			minute				dakika
129			mirror				ayna
130			miss				özlemek
131			mistake				hata
132			month				ay
133			need				ihtiyaç
134			neighbour				komşu
135			news				haberler
136			nice				hoş
137			nose				burun
138			nurse				hemşire
139			object				nesne
140			opposite				karşı-zıt
141			oven				fırın
142			page				sayfa
143			paint				boyamak
144			parent				ebeveyn
145			pass				geçmek
146			pay				ödemek
147			pepper				biber
148			personal				kişisel
149			pet				evcilhayvan
150			place				yer
151			plane				uçak
152			pocket				cep
153			polite				kibar
154			pool				havuz
155			poor				fakir
156			possible				mümkün
157			push				ittirmek
158			quick				hızlı
159			quiet				sessiz
160			railway				trenyolu
161			ready				hazır
162			refrigerator				buzdolabı
163			remember				hatırlamak
164			rent				kiralamak
165			repair				tamiretmek
166			repeat				tekraretmek
167			restroom				tuvalet
168			return				geridönmek
169			rice				pirinç
170			rich				zengin
171			ride				binmek
172			right				DOĞRU
173			ring				yüzük-telefonunçalması
174			rise				güneş(doğmak)
175			river				ırmak
176			road				yol
177			roof				çatı
178			room				oda
179			rose				gül
180			salt				tuz
181			same				aynı
182			security				güvenlik
183			sell				satmak
184			serious				ciddi
185			shelf				raf
186			ship				gemi
187			shirt				gömlek
188			shoe				ayakkabı
189			show				göstermek
190			sick				hasta
191			sing				şarkısöylemek
192			single				bekar
193			skirt				etek
194			sky				gökyüzü
195			smile				gülümsemek
196			snow				kar
197			socks				çorap
198			son				erkekkardeş
199			song				şarkı
200			soup				çorba
201			spend				harcamak
202			spoon				kaşık
203			stamp				pul
204			stay				kalmak
205			story				hikaye
206			strawberry				çilek
207			strong				güçlü
208			successful				başarılı
209			suit				takımelbise
210			sweet				tatlı
211			talk				konuşmak
212			tall				uzun
213			teach				öğretmek
214			thick				kalın
215			thief				hırsız
216			thin				zayıf
217			think				düşünmek
218			thirsty				susamış
219			ticket				bilet
220			tidy				düzenlemek
221			tired				yorgun
